"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.3199996948242","","","","","","","","","","91.379997253418","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","6.69999980926514","","","","4.48000001907349","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6816530227661","19.5894508361816","","24.2811393737793","","","22.4321632385254","15.25","21.0254802703857","","",
"Africa Western and Central","AFW","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.607536315918","","","44","43.405158996582","","","","70.0272979736328","","74.3047637939453","","","",
"Albania","ALB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.4000015258789","","","","","","","92.4000015258789","","95.7005767822266","95.8499984741211","95.5100021362305","95.9353790283203","96.5201034545898","97.0612411499023","97.2195816040039","96.5127563476562","97.0979614257812","97.4445037841797","","97.8259353637695","97.853141784668","","",
"Andorra","AND","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3899993896484","97.7699966430664","93.9100036621094","93","","","","","","","","96.5299987792969","96.4599990844727","96.5199966430664","","","","","","99.1500015258789","","",
"Arab World","ARB","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.4499969482422","","","","","","","","","","","82.9100036621094","88.4300003051758","91.0100021362305","93","","92.6900024414062","93.2300033569336","","",
"Argentina","ARG","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","SE.PRM.CUAT.ZS","","","","","","","","","","","49.9000015258789","","","","","","","","","","59.5","","","","","","","","","","","71.9599990844727","","","","","","","","","","80.870002746582","","89.9700012207031","","","","","","","","","","","","","","","","","","","","","",
